Institute,Program,Seat Type,Gender,OR,CR
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,5,20
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),38,53
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,3,3
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,6,54
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),70,331
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,2,3
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,1,31
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),111,270
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",SC (PwD),Gender-Neutral,1,1
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,2,19
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),17,76
IIT Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",ST (PwD),Gender-Neutral,1,1
IIT Bombay,"Economics (4 Years, Bachelor of Science)",OPEN,Gender-Neutral,1531,2372
IIT Bombay,"Economics (4 Years, Bachelor of Science)",OPEN,Female-only (including Supernumerary),3744,4928
IIT Bombay,"Economics (4 Years, Bachelor of Science)",EWS,Gender-Neutral,498,554
IIT Bombay,"Economics (4 Years, Bachelor of Science)",EWS,Female-only (including Supernumerary),978,978
IIT Bombay,"Economics (4 Years, Bachelor of Science)",OBC-NCL,Gender-Neutral,993,1405
IIT Bombay,"Economics (4 Years, Bachelor of Science)",OBC-NCL,Female-only (including Supernumerary),2899,3344
IIT Bombay,"Economics (4 Years, Bachelor of Science)",SC,Gender-Neutral,371,855
IIT Bombay,"Economics (4 Years, Bachelor of Science)",SC,Female-only (including Supernumerary),1565,1565
IIT Bombay,"Economics (4 Years, Bachelor of Science)",ST,Gender-Neutral,691,828
IIT Bombay,"Economics (4 Years, Bachelor of Science)",ST,Female-only (including Supernumerary),564,564
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,106,433
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),779,1914
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,23,23
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,51,113
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),235,396
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",EWS (PwD),Gender-Neutral,11,11
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,122,339
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),588,1117
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,20,20
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,57,163
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),345,753
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",SC (PwD),Gender-Neutral,7,7
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,21,96
IIT Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),196,260
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Gender-Neutral,470,841
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN,Female-only (including Supernumerary),2219,3274
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OPEN (PwD),Gender-Neutral,29,29
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Gender-Neutral,178,265
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS,Female-only (including Supernumerary),443,621
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",EWS (PwD),Gender-Neutral,36,36
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Gender-Neutral,417,549
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL,Female-only (including Supernumerary),1211,1545
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",OBC-NCL (PwD),Gender-Neutral,37,37
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Gender-Neutral,128,293
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",SC,Female-only (including Supernumerary),715,998
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Gender-Neutral,168,204
IIT Bombay,"Electrical Engineering (5 Years, Bachelor and Master of Technology (Dual Degree))",ST,Female-only (including Supernumerary),248,248
IIT Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,1810,2584
IIT Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),4087,6136
IIT Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,381,494
IIT Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1422,1422
IIT Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,1089,1455
IIT Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),3365,3818
IIT Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",SC,Gender-Neutral,320,841
IIT Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),2222,2222
IIT Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",ST,Gender-Neutral,678,732
IIT Bombay,"Energy Engineering (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),1090,1090
IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,122,1539
IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),3126,5593
IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,40,40
IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,260,615
IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),1172,1172
IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,269,1247
IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),1588,3828
IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",OBC-NCL (PwD),Gender-Neutral,26,26
IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Gender-Neutral,483,850
IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",SC,Female-only (including Supernumerary),1089,1213
IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Gender-Neutral,353,638
IIT Bombay,"Engineering Physics (4 Years, Bachelor of Technology)",ST,Female-only (including Supernumerary),642,642
IIT Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Gender-Neutral,3143,4777
IIT Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",OPEN,Female-only (including Supernumerary),8026,8925
IIT Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",OPEN (PwD),Gender-Neutral,78,78
IIT Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",EWS,Gender-Neutral,802,959
IIT Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",EWS,Female-only (including Supernumerary),2412,2412
IIT Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Gender-Neutral,2015,2587
IIT Bombay,"Environmental Science and Engineering (4 Years, Bachelor of Technology)",OBC-NCL,Female-only (including Supernumerary),5175,5253
